index,algorithmization,algo_profile
41,5,0.39
46,5,0.12
50,5,0.2
128,5,0.39
14,5,0.3
111,5,0.5
135,5,0.48
5,0,0
131,0,0.01
134,0,0.01
58,6,0.2
127,6,0.2
63,5,0.2
25,5,0.2
4,4,0.4
71,4,0.2
126,4,0.1
137,4,0.05
6,1,0.1
138,1,0
7,0,0.2
17,0,0.19
35,0,0.07
139,0,0.19
67,9,0.19
15,8,1
59,8,0.1
9,7,0.28
27,7,0.85
39,7,0.35
13,6,0.2
54,6,0.71
83,6,0.1
129,6,0.08
43,5,0.18
81,5,0.5
124,5,0.2
125,5,0.4
143,5,0.61
51,4,0.4
132,4,0.15
19,3,0.2
79,3,0.1
103,3,0.2
117,3,0.5
86,2,0.2
136,2,0.4
97,2,0.01
118,1,0.25
133,1,0.2
48,0,0
130,0,0.1
