index,algorithmization,algo_profile
41,5,0.3
46,5,0.1
50,5,0.5
128,5,0.37
14,5,0.2
111,5,0.75
135,5,0.49
5,0,0
131,0,0.01
134,0,0
58,6,0.18
127,6,0
63,5,0.48
25,5,0.01
4,4,0.66
71,4,0.01
126,4,0.1
137,4,0
6,1,0.1
138,1,0
7,0,0.2
17,0,0
35,0,0.03
139,0,0.09
67,9,1
15,8,1
59,8,0.02
9,7,0.38
27,7,1
39,7,0.82
13,6,0.66
54,6,0.29
83,6,0.75
129,6,0.07
43,5,0.21
81,5,0.5
124,5,0.5
125,5,0.4
143,5,0.8
51,4,0.3
132,4,1
19,3,0.4
79,3,0.29
103,3,0.2
117,3,0.51
86,2,0.4
136,2,0.36
97,2,0.01
118,1,0.2
133,1,0.5
48,0,0.1
130,0,0.3
